Termo;Setor/Área;Explicação Simples;Setor Econômico
Cap Rate (Capitalization Rate);Imobiliário;Relação entre a renda anual do aluguel e o valor de mercado do imóvel.;Terciário
Cap Table;Startups;"Tabela de capitalização; detalha quem são os sócios e sua participação.";Terciário (Majoritariamente)
Capacidade de Campo;Agricultura;"Quantidade máxima de água que um solo pode reter; métrica de solo.";Primário
Capacidade de Carga;Supply Chain;Limite máximo (peso/volume) que um veículo ou armazém suporta.;Terciário
Capacidade de Carga (Payload);Logística;Peso máximo que um veículo pode transportar legalmente.;Terciário
Capacidade de Endividamento;Governo;Limite máximo que um ente pode tomar de crédito conforme sua receita.;Terciário
Capacidade de Suporte;Pecuária;Quantas UA a fazenda consegue manter sem comprar alimento externo.;Primário
Capacidade Efetiva;Supply Chain;Volume real processado considerando paradas e manutenções.;Terciário
Capacidade Nominal;Supply Chain;Volume máximo teórico que uma operação pode processar.;Terciário
Capacity Planning;Tecnologia;Planeamento da infraestrutura necessária para suportar o crescimento da carga.;Terciário
CAPEX;Financeiro;Despesas de capital ou investimentos em bens tangíveis (máquinas, infraestrutura).;Terciário
Capex (Capital Expenditure);Indústria de Papel;Investimento em bens de capital, como novas máquinas de papel.;Secundário
Capex (Capital Expenditure);Varejo;Investimentos em bens de capital, como abertura de novas lojas físicas.;Terciário
Capex (Capital Expenditure);Mercado Financeiro;Despesas de capitais voltadas para a compra de bens de capital e expansão.;Terciário
CAPEX (Planta e Ferramental);Automobilístico;Investimento em bens de capital para novos modelos ou expansão de fábrica.;Secundário
Capex por Barril;Petróleo;Investimento de capital necessário para colocar cada barril em capacidade produtiva.;Primário (Extração) / Secundário (Refino)
Capilaridade;Vendas;Indicador que mede a abrangência geográfica ou de pontos de venda da marca.;Terciário
Capilaridade Policial;Segurança Pública;Alcance das delegacias e postos em áreas rurais ou remotas.;Terciário
Capitação (Capitation);Saúde;Modelo de pagamento fixo por indivíduo em uma lista, independente do uso do serviço.;Terciário
CAR (Consumo Alimentar Residual);Pecuária;Métrica de eficiência genética: diferença entre consumo real e esperado.;Primário
Carbon Sequestration (Crédito de Carbono);Agricultura;"Volume de carbono retido no solo/biomassa; nova linha de receita no BI.";Primário
Card Activation Lag;Bancário/Fintech;Tempo entre o recebimento do cartão físico e o primeiro desbloqueio.;Terciário
Card Not Present (CNP) Fraud;Bancário/Fintech;Fraudes em compras online onde o cartão físico não é exigido.;Terciário
Carga Tributária;Governo;Relação percentual entre o total de impostos arrecadados e o PIB.;Terciário
Carga Tributária Bruta;Macroeconomia;Total de impostos, taxas e contribuições em relação ao PIB.;Terciário (Serviços/Administração)
Carregamento;Seguros;Margem adicionada ao preço puro para cobrir despesas administrativas e lucro.;Terciário
Carry Cost (Custo de Manutenção);Varejo;Custo associado a manter o estoque parado (armazenagem, seguro, capital).;Terciário
Case Mix Index (CMI);Saúde;Reflete a complexidade clínica e os recursos necessários para tratar os pacientes.;Terciário
Cash and Carry (Atacarejo);Varejo;Modelo de negócio que mescla características de atacado e varejo.;Terciário
Cash Burn Rate;Financeiro;Velocidade com que uma empresa consome seu caixa antes de gerar fluxo positivo.;Terciário
Cash-in / Cash-out;Bancário/Fintech;Fluxo de entrada e saída de dinheiro na conta digital.;Terciário
Cash-on-Cash Return;Imobiliário;Relação entre o fluxo de caixa anual e o montante de dinheiro investido.;Terciário
Cash-to-Cash Cycle;Supply Chain;Tempo entre o pagamento aos fornecedores e o recebimento dos clientes.;Terciário
Category Management (Gerenciamento de Categoria);Varejo;Tratar categorias de produtos como Unidades Estratégicas de Negócio independentes.;Terciário
CBT (Contagem Bacteriana Total);Pecuária;Métrica de higiene na ordenha que impacta o bônus no preço do leite.;Primário
CBU (Completely Built Up);Automobilístico;Veículos importados/exportados totalmente montados.;Secundário
CCS (Contagem de Células Somáticas);Pecuária;Indicador de saúde da ubre e qualidade do leite para precificação.;Primário
CEC (Capacidade de Troca Catiônica);Agricultura;Indicador químico do solo que define potencial de retenção de nutrientes.;Primário
Censo Demográfico;Governo;Principal fonte de dados estruturados para planejamento de políticas públicas.;Terciário
Censo Escolar;Governo;Levantamento estatístico anual da educação básica.;Terciário
Censo Hospitalar;Saúde;Contagem diária de pacientes internados, geralmente realizada à meia-noite.;Terciário
Cercamento Eletrônico;Segurança Pública;Barreira virtual monitorada por câmeras para controlar entradas e saídas de perímetros.;Terciário
CET (Custo Efetivo Total);Bancário/Fintech;Taxa real que o cliente paga em um empréstimo, somando juros, taxas e impostos.;Terciário
Chargeback Rate;Financeiro;Índice de reversão de pagamentos por contestação (comum em cartões/e-commerce).;Terciário
Chargeback Rate;Bancário/Fintech;Índice de contestações de compras feitas com cartão de crédito.;Terciário
Charging Infrastructure Density;Automobilístico;Dados sobre disponibilidade de pontos de recarga em relação à frota.;Secundário
Checkout Conversion;Bancário/Fintech;Eficácia do gateway de pagamento em finalizar vendas sem erro.;Terciário
Churn de AUM;Mercado Financeiro;Volume de capital retirado da gestão em comparação ao volume total sob gestão.;Terciário
Churn de Beneficiários;Saúde;Taxa de cancelamento de planos de saúde por parte dos usuários.;Terciário
Churn de Cooperados;Agricultura;Taxa de abandono de produtores em uma cooperativa agrícola.;Primário
Churn de Logotipo (Logo Churn);Comercial;Contagem física de quantos clientes (CNPJs) saíram.;Terciário
Churn de Produto;Varejo;Análise de itens que pararam de ser comprados por clientes recorrentes.;Terciário
Churn de Receita (MRR Churn);Mercado Financeiro;Impacto financeiro da perda de clientes em modelos de assinatura ou taxas recorrentes.;Terciário
Churn de Receita (MRR Churn);Startups;Valor financeiro perdido mensalmente devido a cancelamentos.;Terciário (Majoritariamente)
Churn de Receita (Revenue Churn);Comercial;Perda financeira decorrente de cancelamentos ou downgrades.;Terciário
Churn Negativo;Vendas;Quando a expansão de receita na base atual supera a perda por cancelamentos.;Terciário
Churn Negativo;Comercial;Quando a expansão em clientes atuais supera a perda por cancelamentos.;Terciário
Churn Negativo;Seguros;Quando o aumento de prêmio na base atual supera as perdas por cancelamento.;Terciário
Churn Rate;Varejo;Taxa de rotatividade ou cancelamento de clientes em programas de fidelidade ou assinaturas.;Terciário
Churn Rate;SaaS/Serviços;Taxa de cancelamento ou perda de clientes em um período.;Terciário
Churn Rate;Marketing;Taxa de cancelamento ou perda de clientes em um período.;Terciário
Churn Rate;Comercial;Taxa de cancelamento ou perda de clientes em um período.;Terciário
Churn Rate;Bancário/Fintech;Taxa de cancelamento de contas ou encerramento de relacionamento em um período.;Terciário
Churn Rate (Carteira);Bolsa de Valores;Taxa de rotatividade dos ativos dentro de um fundo ou carteira.;Terciário
Churn Rate (Logo);Startups;Percentual de clientes (contas) que cancelaram o serviço no período.;Terciário (Majoritariamente)
Churn Rate (Revenue);Startups;Mede a perda financeira direta, ignorando o número de contas.;Terciário (Majoritariamente)
Churn Rate (Taxa de Evasão);Comercial e Vendas;Percentual de clientes que deixaram de comprar ou cancelaram o contrato em um período.;Terciário
Churn Rate de Aluguel;Imobiliário;Taxa de rescisão de contratos de locação em um período.;Terciário
Churn Rate de Apólices;Seguros;Taxa de cancelamento ou não renovação de contratos em um período.;Terciário
Churn Rate de Carteira;Mercado Financeiro;Taxa de rotatividade de clientes ou ativos que deixaram a instituição em um período.;Terciário
Churn Rate de Clientes;Indústria de Papel;Taxa de cancelamento ou perda de clientes B2B (ex: convertedores).;Secundário
Churn Rate de Clientes;Automobilístico;Taxa de abandono de clientes que deixam de frequentar a rede autorizada.;Secundário
Churn Rate de Clientes B2B;Petróleo;Taxa de perda de contratos de grandes frotas ou indústrias.;Primário (Extração) / Secundário (Refino)
Churn Rate de Utilizadores;Tecnologia;Percentagem de utilizadores que abandonam o uso da tecnologia num período.;Terciário
Churn Rate Financeiro;Financeiro;Perda de receita recorrente devido ao cancelamento de clientes (MRR Lost).;Terciário
CI/CD (Continuous Integration/Deployment);Tecnologia;Automatização de testes e publicações de código para acelerar entregas.;Terciário
Ciclo de Caixa (Cash Conversion Cycle);Indústria de Papel;Tempo que a empresa leva para converter investimentos em estoques em dinheiro.;Secundário
Ciclo de Caixa (Cash-to-Cash);Agricultura;Tempo entre a compra do insumo e o recebimento pela venda do grão.;Primário
Ciclo de Vendas;Comercial e Vendas;Tempo médio decorrido entre o primeiro contato com o lead e o fechamento do negócio.;Terciário
Ciclo de Vendas;Vendas;Tempo médio gasto desde o primeiro contato até o fechamento do negócio.;Terciário
Ciclo Pecuário;Pecuária;Análise plurianual de preços (alta vs. baixa) baseada no abate de matrizes.;Primário
Ciclos Econômicos;Macroeconomia;Flutuações da atividade econômica entre expansão e recessão.;Terciário (Serviços/Administração)
CID-10 / CID-11;Saúde;"Classificação Internacional de Doenças; essencial para categorizar dados epidemiológicos.";Terciário
CIF (Cost, Insurance and Freight);Agricultura;Venda onde o produtor entrega o grão no destino final (porto/indústria).;Primário
Cifra Negra;Segurança Pública;Diferença entre a criminalidade real e a criminalidade registrada oficialmente.;Terciário
Circuit Breaker;Bolsa de Valores;Mecanismo de interrupção temporária das negociações após quedas bruscas.;Terciário
CKD (Completely Knocked Down);Automobilístico;Kits de veículos desmontados para exportação/montagem local.;Secundário
Clean Data (Limpeza de Dados);Engenharia de Dados;Processo de corrigir ou remover dados incorretos ou duplicados.;Terciário
Click and Collect;Varejo;"Modalidade ""Compre no site e retire na loja"".";Terciário
Clienting;Comercial e Vendas;Gestão estratégica do relacionamento com clientes fiéis para aumentar a rentabilidade.;Terciário
Cliff;Startups;Período mínimo de permanência antes de começar o direito ao vesting.;Terciário (Majoritariamente)
Clima Organizacional;Recursos Humanos;Métrica de satisfação interna captada via pesquisas periódicas.;Terciário
Clinical Outcomes;Saúde;Resultados clínicos (ex: taxa de cura, mortalidade) medidos após o tratamento.;Terciário
Closing Ratio;Comercial;Proporção entre propostas apresentadas e fechamentos.;Terciário
Cloud BI;Infraestrutura;Soluções de Business Intelligence hospedadas na nuvem.;Secundário (Obras) / Terciário (Serviços)
Cloud Computing Costs;Tecnologia;Monitorização de gastos em fornecedores de nuvem (AWS, Azure, Google Cloud).;Terciário
Clout Score;Vendas;Métrica de influência de um cliente ou marca no mercado digital.;Terciário
Clusterização;Data Science;Técnica de agrupar dados similares para identificar padrões.;Terciário
Clusterização de Clientes;Comercial e Vendas;Segmentação de base através de algoritmos para agrupar perfis semelhantes.;Terciário
Clusterização de Clientes;Vendas;Agrupamento de clientes por perfil de compra, ticket ou região para análise.;Terciário
Clusterização de Lojas;Varejo;Agrupamento de unidades por perfil demográfico, clima ou volume de vendas para ações personalizadas.;Terciário
CMV (Custo da Mercadoria Vendida);Varejo;Soma de todos os custos para adquirir os produtos que foram vendidos.;Terciário
